Time (s),Pressure 1 (kPa),Pressure 2 (kPa),Switch State
11.179,-4.19,-4.92,0
11.199,-4.31,-4.92,0
11.219,-4.44,-4.92,0
11.239,-4.44,-4.92,0
11.259,-4.19,-4.92,0
11.279,-4.07,-4.92,0
11.3,-4.07,-4.92,0
11.32,-4.07,-4.92,0
11.34,-4.07,-4.92,0
11.36,-4.07,-4.92,0
11.38,-4.31,-4.8,0
11.4,-4.07,-4.8,0
11.42,-4.07,-4.8,0
11.44,-4.07,-4.8,0
11.46,-3.95,-4.8,0
11.48,-4.07,-4.8,0
11.5,-4.07,-4.8,0
11.52,-4.19,-4.8,0
11.54,-4.31,-4.8,0
11.56,-4.07,-4.8,0
11.58,-3.95,-4.8,0
11.6,-3.95,-4.68,0
11.62,-3.82,-4.68,0
11.64,-3.82,-4.68,0
11.66,-3.82,-4.68,0
11.68,-3.82,-4.56,0
11.7,-3.82,-4.56,0
11.7,-3.82,-4.56,0
11.72,-3.95,-4.56,0
11.74,-4.44,-5.17,0
11.76,-5.66,-6.27,0
11.78,-6.51,-6.88,0
11.8,-7.0,-7.86,0
11.82,-7.37,-8.83,0
11.84,-8.35,-9.32,0
11.86,-9.08,-9.57,0
11.88,-9.45,-9.81,0
11.9,-9.69,-9.81,0
11.92,-9.81,-9.81,0
11.94,-9.81,-9.93,0
11.96,-9.81,-9.93,0
11.98,-9.81,-9.93,0
12.0,-9.81,-10.06,0
12.02,-9.93,-10.06,0
12.04,-10.06,-10.06,0
12.06,-10.06,-10.06,0
12.08,-10.06,-10.06,0
12.1,-10.06,-10.18,0
12.101,-10.06,-10.06,0
12.121,-10.06,-10.06,0
12.141,-10.06,-10.18,0
12.161,-10.06,-10.18,0
12.181,-10.06,-10.06,0
12.201,-10.06,-10.06,0
12.221,-10.06,-10.18,0
12.241,-10.06,-10.18,0
12.261,-10.06,-10.18,0
12.281,-10.06,-10.18,0
12.301,-10.06,-10.18,0
12.321,-10.06,-10.18,0
12.341,-10.06,-10.18,0
12.361,-10.06,-10.18,0
12.381,-10.06,-10.18,0
12.401,-10.06,-10.18,0
12.421,-10.06,-10.18,0
12.441,-10.18,-10.18,1
12.461,-10.18,-10.18,1
12.481,-10.18,-10.18,1
12.501,-10.18,-10.18,1
12.502,-10.18,-10.18,1
12.522,-10.18,-10.18,1
12.542,-10.18,-10.18,1
12.562,-10.18,-10.18,1
12.582,-10.18,-10.18,1
12.602,-10.18,-10.18,1
12.622,-10.18,-10.18,1
12.642,-10.18,-10.18,1
12.662,-10.18,-10.3,1
12.682,-9.81,-9.81,1
12.702,-9.2,-9.32,1
12.722,-8.59,-8.71,1
12.742,-8.22,-7.73,1
12.762,-7.61,-7.12,1
12.782,-6.76,-6.63,1
