Time (s),Pressure 1 (kPa),Pressure 2 (kPa),Switch State
13.75,-11.4,-11.28,0
13.75,-11.4,-11.28,0
13.77,-11.28,-11.4,0
13.791,-11.28,-11.28,0
13.81,-11.4,-11.28,0
13.83,-11.4,-11.28,1
13.85,-11.4,-11.4,1
13.871,-11.4,-11.4,1
13.89,-11.52,-11.4,1
13.91,-11.4,-11.4,1
13.93,-11.4,-11.4,1
13.95,-11.4,-11.4,1
13.97,-11.4,-11.4,1
13.991,-11.4,-11.4,1
14.01,-11.4,-11.4,1
14.03,-11.52,-11.4,1
14.051,-11.16,-11.16,1
14.07,-10.67,-10.54,1
14.09,-9.81,-8.96,1
14.11,-8.35,-7.37,1
14.131,-6.39,-6.27,1
14.15,-5.29,-5.54,1
14.15,-4.56,-4.8,1
14.171,-3.95,-4.31,1
14.191,-3.21,-4.07,1
14.21,-2.72,-3.58,1
14.231,-2.48,-3.21,1
14.25,-1.99,-3.09,1
14.27,-1.87,-2.85,1
14.291,-1.5,-2.6,0
14.311,-1.26,-2.6,0
14.33,-1.26,-2.36,0
14.35,-1.26,-2.11,0
14.371,-1.14,-1.99,0
14.391,-0.65,-1.99,0
14.41,-0.89,-1.87,0
14.43,-0.65,-1.87,0
14.45,-0.89,-1.99,0
14.471,-0.65,-1.75,0
14.491,-0.4,-1.63,0
14.511,-0.53,-1.63,0
14.531,-0.65,-1.5,0
14.55,-0.4,-1.63,0
14.57,-0.16,-1.5,0
14.59,-0.28,-1.5,0
14.61,-0.28,-1.38,0
14.631,-0.65,-1.75,0
14.651,-2.72,-3.46,0
14.67,-4.68,-5.17,0
14.691,-6.02,-7.86,0
14.71,-8.47,-9.57,0
14.731,-9.81,-10.18,0
14.752,-10.42,-10.67,0
14.771,-10.79,-10.91,0
14.79,-10.91,-11.03,0
14.81,-11.16,-11.16,0
14.831,-11.16,-11.16,0
14.851,-11.28,-11.28,0
14.871,-11.28,-11.16,0
14.891,-11.28,-11.28,0
14.911,-11.28,-11.28,0
14.931,-11.4,-11.4,0
14.951,-11.28,-11.28,0
14.951,-11.4,-11.28,0
14.971,-11.4,-11.4,1
14.991,-11.4,-11.4,1
15.011,-11.4,-11.4,1
15.031,-11.4,-11.4,1
15.052,-11.52,-11.4,1
15.071,-11.4,-11.4,1
15.091,-11.4,-11.4,1
15.111,-11.4,-11.4,1
15.131,-11.52,-11.4,1
15.151,-11.4,-11.4,1
15.171,-11.52,-11.4,1
15.191,-11.28,-11.28,1
15.211,-10.79,-10.67,1
15.231,-9.93,-9.81,1
15.251,-8.47,-8.22,1
15.271,-6.63,-6.88,1
15.291,-5.29,-5.78,1
15.311,-4.44,-5.05,1
15.331,-3.82,-4.56,1
15.351,-3.46,-4.19,1
15.351,-2.72,-3.82,1
15.372,-2.36,-3.46,1
15.391,-2.24,-3.09,1
15.411,-1.75,-2.85,1
15.431,-1.63,-2.72,1
15.452,-1.14,-2.48,0
15.471,-1.14,-2.48,0
15.491,-1.14,-2.24,0
15.511,-1.14,-2.11,0
15.531,-0.89,-1.99,0
15.551,-0.77,-1.87,0
15.571,-0.77,-1.75,0
15.591,-0.65,-1.87,0
15.611,-0.77,-1.87,0
15.632,-0.4,-1.63,0
15.651,-0.65,-1.63,0
15.672,-0.53,-1.63,0
15.692,-0.53,-1.5,0
15.711,-0.53,-1.63,0
15.731,-0.16,-1.63,0
15.752,-0.28,-1.38,0
15.752,-0.53,-1.5,0
15.773,-2.36,-3.34,0
15.792,-4.31,-5.17,0
15.812,-5.78,-7.86,0
15.833,-8.1,-9.45,0
15.853,-9.69,-10.18,0
15.872,-10.3,-10.67,0
15.892,-10.79,-10.91,0
15.912,-11.03,-11.03,0
15.932,-11.16,-11.16,0
